,acc,loss,val_acc,val_loss
0,0.4252363276684511,0.19083038462545918,0.46165652031019566,0.13677311939504522
1,0.4976267756563368,0.13005968375463284,0.552565611213188,0.12301314776725109
2,0.6043110259681581,0.1173654148157629,0.6172302656358616,0.11554762606293721
3,0.6529521773944211,0.11108230078688475,0.6295595233255123,0.11246888296981782
4,0.6620642220077261,0.10828990583672156,0.6302757457667875,0.11137371654613443
5,0.6643891292019206,0.10692509442893765,0.6320151431167644,0.1108229134588002
6,0.6649859880165201,0.10616609686776764,0.6329871592768295,0.11047708333505232
7,0.6652986283632882,0.10570360477286679,0.63339642924153,0.11031419989162805
8,0.6656226374247002,0.10539820999369233,0.6335499054782926,0.11035717944114075
9,0.6658215903641423,0.10518542863618117,0.6331406355135921,0.11034022719803847
10,0.6656283217943888,0.10504263380544716,0.6330383180224171,0.11048420030253375
11,0.6659068559118441,0.10494108245094957,0.6330383180224171,0.11053188515421788
12,0.6657192717287199,0.10487015956875753,0.633856857951818,0.11055778209929053
13,0.6658670653294444,0.1048175714082348,0.6337545404606428,0.11061674748143009
14,0.6658443278479792,0.10478078375824444,0.6320151431137152,0.1104600538196677
